id,timestamp,sensor_id,traversed,entered,exited
dcf98a41-8c9f-45e7-a4ba-4da3e9758ba8,2024-12-12 10:02:03.637321+00,D80C,3,2,1
a13ad89d-dc19-4d32-a3e4-7ae00eaaa243,2024-12-12 10:02:13.64333+00,D80C,2,1,1
28c6b09c-17e0-4750-80d8-4ff19b02e41a,2024-12-12 10:02:23.649795+00,D80C,1,1,0
af13845f-44b7-41f3-9423-6ad3d68bc934,2024-12-12 10:02:33.656853+00,D80C,2,0,2
2695bebe-3e10-49f2-b94d-735c2e43f934,2024-12-12 10:07:53.712416+00,D80C,1,1,0
9225f64b-fda4-4fb1-963b-5e029e7a420e,2024-12-12 10:08:03.719793+00,D80C,2,1,1
c5ac6291-2933-4e1b-97bb-6f316dcfee85,2024-12-12 10:08:13.726858+00,D80C,1,0,1
abf190bf-9ce7-41ed-b2bd-321c6bd03879,2024-12-12 10:08:53.737917+00,D80C,2,1,1
712cb291-e2fb-4f41-bc48-30003522d97d,2024-12-12 10:09:03.745721+00,D80C,3,2,1
0a4a3a2c-a831-4e3f-9d48-d50fe8840315,2024-12-12 10:09:13.755254+00,D80C,2,1,1
dbd21728-35ae-4b3d-bc27-ca64cf7e5db2,2024-12-12 10:09:23.764497+00,D80C,4,2,2
5fe8d5a3-f434-417b-9bad-e897e1eeb41a,2024-12-12 10:10:03.780256+00,D80C,2,1,1
95a239c9-28ec-4ecc-9b0d-cc733a644f90,2024-12-12 10:11:43.800908+00,D80C,1,1,0
56f5b8ca-a792-4fc2-bfd0-e0cf0234e7d1,2024-12-12 10:12:03.808855+00,D80C,1,0,1
6b56f87b-43cc-43b0-b713-02dc4a356ce7,2024-12-12 10:15:53.842817+00,D80C,2,1,1
11470b08-397d-4fef-8e84-9d7078f91712,2024-12-12 10:24:23.920789+00,D80C,2,1,1
e8fe28eb-2569-497d-9f7e-6703f72dd092,2024-12-12 10:50:04.142094+00,D80C,2,1,1
f6215fab-4727-47cf-8c9b-0da041101c39,2024-12-12 10:52:14.167534+00,D80C,2,1,1
d753595f-6a42-4a00-b9b4-acb2463b6486,2024-12-12 10:52:24.183603+00,D80C,2,1,1
6a2f5cc7-c8a0-4f25-918e-f0c539d27c5f,2024-12-12 10:56:34.223472+00,D80C,1,1,0
eadc5d68-0579-440e-835e-bc705941c3ca,2024-12-12 10:57:24.235581+00,D80C,2,1,1
cefeb151-b8fc-4cec-af16-b8bfd9608851,2024-12-12 10:57:34.243475+00,D80C,1,0,1
dbde3b70-8ff5-4e6c-8151-98d59ca1fe35,2024-12-12 10:58:34.25651+00,D80C,1,1,0
82c502c3-82ce-4c96-967e-6992cf1ddac8,2024-12-12 10:58:44.263952+00,D80C,1,0,1
